source,year,lat,lon,presence,depth
crab_bycatch,2014,49.230583334,125.94721666966667,1,20
crab_bycatch,2014,49.289233334833334,123.19439999266666,1,17
crab_bycatch,2014,49.19781667383333,125.86895001733333,1,16
crab_bycatch,2014,48.84685001366667,123.40603332516666,1,30
crab_bycatch,2014,48.540733337333336,123.31921666466667,1,20
crab_bycatch,2014,48.51868333816667,123.33688332233334,1,15
crab_bycatch,2014,54.23284999533333,131.61531664533334,1,54.90000153
crab_bycatch,2014,54.177333339,131.74130001066666,1,73.19999695
crab_bycatch,2014,54.177333339,131.74130001066666,1,0
crab_bycatch,2014,54.1770166715,131.73959999083334,1,40
crab_bycatch,2014,54.19126666383333,131.6562000275,1,8
crab_bycatch,2014,54.1588833332,131.80088335666667,1,44
crab_bycatch,2014,54.191716671,131.67216669716666,1,14
crab_bycatch,2014,54.18901666,131.70211664833334,1,16
crab_bycatch,2014,54.0982000033,131.790083313,1,9
crab_bycatch,2014,54.161933326716664,131.388983345,1,0
crab_bycatch,2014,54.083333333333336,131.45,1,29.28000069
crab_bycatch,2014,54.2,131.7,1,60.38999939
crab_bycatch,2014,54.2,131.7,1,47.58000183
crab_bycatch,2014,54.2,131.7,1,47.58000183
crab_bycatch,2014,54.2,131.7,1,47.58000183
crab_bycatch,2014,54.13333333333333,131.8,1,40
crab_bycatch,2014,54.13333333333333,131.8,1,40
crab_bycatch,2014,48.740999984666665,123.41128333416667,1,50
crab_bycatch,2014,48.63621667233333,123.34381666183333,1,13
crab_bycatch,2014,48.560449981666665,123.33156665166666,1,14
crab_bycatch,2014,48.55228335066667,123.334433333,1,20
crab_bycatch,2014,49.149616670616666,125.88666667933333,1,12
crab_bycatch,2014,49.14986666043333,125.88876667016666,1,7
crab_bycatch,2017,49.2011666615,125.92773335766667,1,20
crab_bycatch,2017,49.14145000775,125.87845001216667,1,10
crab_bycatch,2017,48.566533343,123.33489999766667,1,20
crab_bycatch,2016,49.15788332621667,125.89204998016666,1,25
crab_bycatch,2016,49.22809999783333,125.92156664533333,1,12
crab_bycatch,2016,49.13231666883333,125.8569666545,1,14
crab_bycatch,2016,50.61114997866667,126.5613666535,1,10
crab_bycatch,2015,49.14851667086667,125.88770001733333,1,15
crab_bycatch,2015,49.2079333305,125.88143335983334,1,14
crab_bycatch,2015,50.5882166545,126.64863332116667,1,10
crab_bycatch,2015,49.2049333255,125.880550003,1,12
crab_bycatch,2015,49.15850000381667,125.90263334916666,1,13
crab_bycatch,2015,49.17305000616667,125.89179999033334,1,14
crab_bycatch,2015,48.84046669,123.44715000783333,1,13
crab_bycatch,2015,49.952216657,124.8197999955,1,35
crab_bycatch,2017,50.58889999383333,126.65156669616667,1,10
crab_bycatch,2017,49.110016663866666,125.7599999745,1,10
crab_bycatch,2014,53.097049999233334,129.4807166735,1,1.299999952
crab_bycatch,2014,53.0186166664,129.60541667933333,1,NA
crab_bycatch,2014,53.024666666983336,129.60231666566668,1,NA
crab_bycatch,2014,53.04404999811667,129.62073332466667,1,NA
crab_bycatch,2014,53.51665000916667,130.38948332466666,1,1.700000048
crab_bycatch,2014,53.5084499995,130.40348332716667,1,6.699999809
crab_bycatch,2014,52.214333327666665,128.38516667683334,1,1.5
crab_bycatch,2014,48.9279333115,125.24954999283334,1,-0.090000004
crab_bycatch,2014,48.982466697666666,125.0324000001,1,1.899999976
crab_bycatch,2014,48.95770003,125.25755000116666,1,6.300000191
crab_bycatch,2014,48.957366689,125.25701665883334,1,6.300000191
crab_bycatch,2014,48.9746500015,125.2903999965,1,3.299999952
crab_bycatch,2014,49.00071666668333,125.36853332516667,1,7.900000095
crab_bycatch,2014,48.952650006666666,124.97878335316666,1,8.600000381
crab_bycatch,2014,48.95193335216667,124.97880001066666,1,1.5
crab_bycatch,2014,49.00938333371667,125.1435499986,1,7.199999809
crab_bycatch,2014,49.0504666686,125.16393334071667,1,4.5
crab_bycatch,2014,49.0498333335,125.16423333486667,1,6.199999809
crab_bycatch,2014,49.09495000045,125.1978333315,1,7.300000191
crab_bycatch,2016,48.56395003,123.32951666516666,1,20
crab_bycatch,2016,48.630183347,123.37601668033334,1,23
crab_bycatch,2015,49.157916673016665,125.89281667066666,1,20
crab_bycatch,2015,49.13579999605,125.872116661,1,10
crab_bycatch,2015,49.172116661,125.89134998316666,1,10
crab_bycatch,2015,48.889066696166665,123.40108334216667,1,12
crab_bycatch,2014,48.500033346833334,123.309133339,1,17
crab_bycatch,2014,48.48871666583333,123.2957999865,1,22
crab_bycatch,2015,48.551233355166666,123.331400013,1,30
crab_bycatch,2015,48.529983329833335,123.33859999966667,1,20
crab_bycatch,2015,49.11678333281667,125.79698333733333,1,30
crab_bycatch,2015,49.2038666725,125.86481666566667,1,12
crab_bycatch,2015,49.1578499953,125.90631669366667,1,13
crab_bycatch,2015,49.141099993383335,125.872083346,1,8
crab_bycatch,2015,49.13963333765,125.87863330833333,1,15
crab_bycatch,2015,50.61050001783333,126.57048333483333,1,15
crab_bycatch,2015,48.574016698166666,123.318383344,1,35
crab_bycatch,2017,50.589083353666666,126.64461663566667,1,12
crab_bycatch,2018,48.622316678333334,123.36845000583334,1,20
crab_bycatch,2018,48.56598332716667,123.333950011,1,15
crab_bycatch,2016,52.84651667283333,129.01820000013333,1,0
crab_bycatch,2016,49.168133338333334,123.92361666366666,1,15
crab_bycatch,2016,49.20473334,123.96146666216667,1,30
crab_bycatch,2016,49.2282000065,125.84720001216667,1,10
crab_bycatch,2016,49.292849985833335,122.9694333395,1,18
