source,year,lat,lon,num_visits,mean_count,median_count,presence
Watson_Dive_Vanls,1998,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,1998,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,1998,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,1998,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,1998,50.05427,-127.4478,1,2,2,1
Watson_Dive_Vanls,1998,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,1999,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,1999,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,1999,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,1999,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,1999,50.0016,-127.2892,1,2,2,1
Watson_Dive_Vanls,1999,50.05427,-127.4478,1,2,2,1
Watson_Dive_Vanls,1999,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,2000,48.82675,-125.1986,1,2,2,1
Watson_Dive_Vanls,2000,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2000,49.98325,-127.2949,1,2,2,1
Watson_Dive_Vanls,2000,49.99795,-127.38,1,2,2,1
Watson_Dive_Vanls,2000,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2000,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2000,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,2001,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2001,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2001,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2001,49.99795,-127.38,1,3,3,1
Watson_Dive_Vanls,2001,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2001,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2001,50.0715,-127.5507,1,2,2,1
Watson_Dive_Vanls,2002,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2002,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2002,49.98325,-127.2949,1,2,2,1
Watson_Dive_Vanls,2002,49.99795,-127.38,1,2,2,1
Watson_Dive_Vanls,2002,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2002,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2002,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,2003,48.82675,-125.1986,1,2,2,1
Watson_Dive_Vanls,2003,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2003,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2003,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2003,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2003,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2003,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,2004,48.82675,-125.1986,1,2,2,1
Watson_Dive_Vanls,2004,48.85853,-125.1602,1,2,2,1
Watson_Dive_Vanls,2004,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2004,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2004,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2004,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2004,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,2005,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2005,48.85853,-125.1602,1,2,2,1
Watson_Dive_Vanls,2005,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2005,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2005,50.0016,-127.2892,1,2,2,1
Watson_Dive_Vanls,2005,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2005,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,2006,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2006,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2006,49.98325,-127.2949,1,0,0,0
Watson_Dive_Vanls,2006,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2006,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2006,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2006,50.0715,-127.5507,1,2,2,1
cote,2007,48.949,-125.149946,1,21,21,1
cote,2007,48.949908,-125.149946,1,15.75,15.75,1
Watson_Dive_Vanls,2007,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2007,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2007,49.98325,-127.2949,1,2,2,1
Watson_Dive_Vanls,2007,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2007,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2007,50.05427,-127.4478,1,3,3,1
Watson_Dive_Vanls,2007,50.0715,-127.5507,1,1,1,1
Watson_Dive_Vanls,2008,48.82675,-125.1986,1,2,2,1
Watson_Dive_Vanls,2008,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2008,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2008,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2008,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2008,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2008,50.0715,-127.5507,1,1,1,1
cote,2009,48.949,-125.149946,1,9,9,1
cote,2009,48.949908,-125.149946,1,7.5,7.5,1
Salomon_Dive_HaidaGwaii,2009,52.10677,-130.9478,1,7,7,1
Salomon_Dive_HaidaGwaii,2009,52.17992,-131.0128,1,6,6,1
Salomon_Dive_HaidaGwaii,2009,52.21283,-130.9963,1,9,9,1
Salomon_Dive_HaidaGwaii,2009,52.61573,-131.4346,1,11,11,1
Salomon_Dive_HaidaGwaii,2009,52.64266,-131.4391,1,3,3,1
Salomon_Dive_HaidaGwaii,2009,52.71016,-131.443,1,6,6,1
Salomon_Dive_HaidaGwaii,2009,52.87565,-131.6719,2,6,6,1
Salomon_Dive_HaidaGwaii,2009,52.89826,-131.6259,1,8,8,1
Salomon_Dive_HaidaGwaii,2009,52.92583,-131.6174,1,15,15,1
Schultz_Dive_BC,2009,49.41178333,-123.2421167,2,0.5,0.5,1
Schultz_Dive_BC,2009,49.4245,-123.2772333,4,0,0,0
Schultz_Dive_BC,2009,49.42466667,-123.2343,2,3,3,1
Schultz_Dive_BC,2009,49.42836667,-123.2627,3,0,0,0
Schultz_Dive_BC,2009,49.45015,-123.2415833,2,0.5,0.5,1
Schultz_Dive_BC,2009,49.46448333,-123.2405167,2,3.5,3.5,1
Schultz_Dive_BC,2009,49.4886,-123.2969833,2,0.5,0.5,1
Schultz_Dive_BC,2009,49.49583333,-123.3289167,3,2,2,1
Schultz_Dive_BC,2009,49.49866667,-123.2491667,3,0,0,0
Schultz_Dive_BC,2009,49.50315,-123.2522833,2,2.5,2.5,1
