H_key,Line,species,weight,estimated,num_caught,num_per_kg,year,month,day,set_num,stat_area,sub_area,start_lat_deg,start_lat_min,start_long_deg,start_long_min,min_depth,max_depth,depth_unit,soaktime
25618,1,4XE,0.050000001,FALSE,,,2005,2,23,50,28,1,49,23.22599983,123,27.14800072,77,90,M,19
25619,1,4XE,0.400000006,FALSE,1,2,2005,2,23,51,28,1,49,22.24699974,123,28.95700073,60,73,M,1
21140,2,4XE,1.289999962,FALSE,1,1,2004,2,15,21,28,2,49,29.15099907,123,19.7140007,62,85,M,22
21141,3,4XE,0.300000012,FALSE,,,2004,2,15,22,28,2,49,29.88800049,123,15.02999973,71,95,M,20
21144,1,4XE,0.889999986,FALSE,1,1,2004,2,15,25,28,3,49,31.86899948,123,23.53800011,52,78,M,19
21146,3,4XE,1,FALSE,2,2,2004,2,16,27,28,2,49,32.56600189,123,19.3220005,87,95,M,27
21154,2,4XE,0.639999986,FALSE,1,2,2004,2,17,35,28,1,49,24.12999916,123,25.59799957,63,90,M,27
21156,3,4XE,1.100000024,FALSE,1,1,2004,2,17,37,28,3,49,27.30200005,123,26.98399925,40,58,M,18
21157,2,4XE,0.680000007,FALSE,1,1,2004,2,17,38,28,1,49,26.38299942,123,22.60199928,66,87,M,20
21182,2,4XE,2.299999952,FALSE,1,0,2004,2,18,43,28,1,49,24.73200035,123,26.75300026,55,75,M,22
21183,1,4XE,0.680000007,FALSE,1,1,2004,2,18,44,28,1,49,26.38299942,123,22.60199928,65,88,M,22
21184,1,4XE,0.25999999,FALSE,1,4,2004,2,18,45,28,1,49,23.30400085,123,27.56900024,87,92,M,24
21189,2,4XE,5.199999809,FALSE,2,0,2004,2,19,50,28,3,49,27.19000053,123,26.9829998,65,83,M,18
27639,2,4XE,2.5,FALSE,1,0,2005,11,16,7,28,2,49,27.1760006,123,18.78000069,58,77,M,20
27640,3,4XE,0.5,FALSE,1,2,2005,11,17,8,28,1,49,24.95700073,123,19.9489994,45,70,M,24
27642,1,4XE,5.300000191,FALSE,1,0,2005,11,17,10,28,2,49,23.15500069,123,15.82800007,70,82,M,22
27653,2,4XE,2.700000048,FALSE,2,1,2005,11,18,21,28,1,49,26.82900047,123,24.04299927,74,90,M,22
27661,4,4XE,0.400000006,FALSE,1,2,2005,11,20,29,28,3,49,31.70999908,123,23.84600067,61,76,M,25
27663,2,4XE,3.799999952,FALSE,1,0,2005,11,20,31,28,2,49,32.5359993,123,19.34700012,85,90,M,26
27664,2,4XE,1.399999976,FALSE,1,1,2005,11,20,32,28,4,49,34.68000031,123,19.02099991,76,91,M,23
27665,2,4XE,1.200000048,FALSE,1,1,2005,11,20,33,28,4,49,32.61600113,123,14.93400002,78,98,M,27
27679,2,4XE,0.25,FALSE,1,4,2005,11,22,47,28,3,49,32.18500137,123,22.85199928,70,95,M,22
27683,4,4XE,1.799999952,FALSE,1,1,2005,11,22,51,28,3,49,27.2840004,123,26.99399948,38,51,M,24
27698,1,4XE,0.01,FALSE,1,100,2005,11,24,66,28,1,49,20.91399956,123,27.00099945,66,91,M,20
27698,3,4TG,0.01,FALSE,1,100,2005,11,24,66,28,1,49,20.91399956,123,27.00099945,66,91,M,20
27737,4,4XE,0.280000001,FALSE,1,4,2006,3,4,2,28,2,49,29.90299988,123,15.02700043,72,93,M,21
27739,3,4XE,1,FALSE,1,1,2006,3,4,4,28,4,49,32.61700058,123,14.93400002,70,92,M,19
27748,2,4XE,2.299999952,FALSE,1,0,2006,3,5,13,28,2,49,29.11400032,123,19.61599922,64,87,M,23
27751,2,4XE,1.830000043,FALSE,1,1,2006,3,6,16,28,3,49,33.49300003,123,22.78700066,74,91,M,22
27755,1,4XE,4.199999809,FALSE,3,1,2006,3,6,20,28,1,49,26.40699959,123,22.58399963,76,88,M,22
27757,1,4XE,3.799999952,FALSE,2,1,2006,3,7,22,28,3,49,27.08600044,123,26.60099983,62,88,M,24
27762,2,4XE,1.860000014,FALSE,3,2,2006,3,7,27,28,1,49,24.95700073,123,19.9489994,47,68,M,20
27763,2,4XE,1.350000024,FALSE,1,1,2006,3,7,28,28,2,49,25.24500084,123,14.25300026,64,83,M,24
27765,2,4XE,0.400000006,FALSE,1,2,2006,3,8,30,28,1,49,24.28000069,123,23.38199997,64,87,M,25
27770,2,4XE,0.100000001,FALSE,1,10,2006,3,8,35,28,2,49,23.32999992,123,15.66499996,72,86,M,24
27771,2,4XE,5.300000191,FALSE,4,1,2006,3,9,36,28,1,49,24.12000084,123,29.78800011,60,80,M,24
27773,1,4XE,1.299999952,FALSE,3,2,2006,3,9,38,28,1,49,23.22599983,123,27.14800072,76,92,M,22
27775,1,4XE,1.399999976,FALSE,1,1,2006,3,9,40,28,1,49,26.08099937,123,21.24399948,72,92,M,25
27778,2,4XE,0.5,FALSE,1,2,2006,3,10,43,28,1,49,24.72500038,123,26.80500031,54,74,M,24
29911,3,4XE,2.400000095,FALSE,1,0,2006,11,9,2,28,1,49,23.29599953,123,27.66200066,72,101,M,19
29914,1,4XE,0.5,FALSE,1,2,2006,11,9,5,28,1,49,26.20100021,123,20.99799919,67,98,M,21
29917,1,4XE,4.199999809,FALSE,3,1,2006,11,10,8,28,1,49,24.10199928,123,29.77799988,60,74,M,25
29918,1,4XE,1,FALSE,2,2,2006,11,10,9,28,1,49,24.31699944,123,25.76000023,65,80,M,24
29923,2,4XE,2.200000048,FALSE,3,1,2006,11,10,14,28,3,49,32.31399918,123,26.73999977,55,89,M,22
29930,1,4XE,0.600000024,FALSE,1,2,2006,11,11,21,28,2,49,32.44120026,123,19.52899933,49,77,M,23
29934,2,4XE,2.5,FALSE,1,0,2006,11,12,25,28,4,49,34.77399826,123,18.66900063,56,72,M,24
29946,1,4XE,1.299999952,FALSE,1,1,2006,11,13,37,28,2,49,23.29999924,123,15.69400024,60,82,M,24
